,TextDescription,Severity,EncodedSeverity
6340,AUT hangup when a modal dialog is shown from a job using Display.syncExec(),normal,4
6342,4.12 Acknowledgements,normal,4
6343,Unable to use Control... to move an object to its own resource,normal,4
6344,Extremely slow https access to git repos,blocker,0
6345,[GTK] Webkit extensions fail to build on Debian derivatives,normal,4
6353,JRE with executionEnvironmentDefault=true not overriding existing default,normal,4
6354,NPE in ModuleDependenciesAdapter on double-clicking an exported package,normal,4
6355,Update Eclipse Marketplace entries for AST View and Java Element view,normal,4
6357,NullPointerException in CodeFormatterVisitor,normal,4
6358,"[Passage] base ""Product Version Feature"" editor on ""Feature Version"" data",normal,4
6359,[Win32] Calling pack() for SWT_AWT embedded frame works wrong in HiDPI mode with fractional scaling ratio,normal,4
6360,"[Passage] provide ""New Product Version"" wizard",normal,4
6361,Regression introduced by fix for Bug 542789 - Optimize stereotype application handling in ElementImpl.eBasicSetContainer(),major,2
6362,ComboBox filter gets lost on structural changes,normal,4
6363,JIPP Request for project Eclipse Packager,normal,4
6364,IllegalArgumentException in FileStoreRoot.getManager(IPath) for deleted projects (thrown in Workspace.newResource),normal,4
6365,[JIRO] Resource constraints not picked up,normal,4
6366,Create helper class for Adpater list management,normal,4
6367,[releng] Specifier plugin in runtime feature,normal,4
6368,Add new banner for EclipseCon Europe promo,normal,4
6369,Drop JS modules,normal,4
6370,Drop Python modules,normal,4
6371,LocationTech repo is down (5/27/2019),normal,4
6372,Remove Sets call in ContainerMappingHelper to avoid a guava dependency,normal,4
6373,[UI Integration] reimplement toolbar and menu contributions using e4 model,normal,4
6374,tmf: ClassCastException in XmlTimeGraphView,normal,4
6375,JIPP for codewind,major,2
6376,NPE in PatternSetValidator,normal,4
6377,[oclinecore] Edit strips oppositeRoleName annotations,major,2
6379,Annotation on TypeParameterElement incorrectly reported on type use,normal,4
6380,Standalone debugger missing from 9.8.0 M3,normal,4
6388,"RFE: allow disabling feature to automatically add ""use statement"" at the start of the file",normal,4
6393,Update minimum SWT requirement for JFace due to API removal from Bug 475833,normal,4
6394,[Segments] Provide migration of legacy DMRs for View Templates,normal,4
6395,[Subapp] Type tooltip of interface elements of untyped subapp don't update when changing their data type.,normal,4
6396,[language] Make Extent useable,normal,4
6397,NullPointerException at org.eclipse.jgit.treewalk.WorkingTreeIterator.hasCrLfInIndex(),normal,4
6398,Update documentation with new quick assists and quick fixes added in 4.12,normal,4
6399,[13] Configure gerrit builds for BETA_JAVA13,major,2
6400,Regression - Viewpoint extension not working in sirius 6.1,normal,4
6401,Need spotbugs and jacoco plugins on jenkins.eclipse.org,normal,4
6402,[R-Console] Java options -d32/-d64 no longer available in Java 11,normal,4
6403,"IllegalArgumentException during some diagram opening without ""refresh at opening""",normal,4
6404,can not debug when java file line more then 65536,normal,4
6405,TextUtils performance optimization,normal,4
6406,[Generic Editor] Hover layout issues with composite hover (eg LSP4E),normal,4
6407,Eclipse Buildship: New CVE Request,normal,4
6408,[Wayland] DnD doesn't work inside EMF editor,normal,4
6409,Update Xerces Java version 2.12,normal,4
6410,Permissions problem with PTP,normal,4
6411,Avoid potential NPEs,normal,4
6412,Crontab for (old infrastructure) for EclipseLink project,normal,4
6413,Enable JDT code completion by default for all characters,normal,4
6414,Undesired Child Process Death,critical,1
6415,[content assist] Auto activation of completion on Java files out of a source folder cause popup on every keystroke.,minor,3
6416,Restart option for Jenkins instance,normal,4
6417,Duplicate Row must handle BiDirectional References,normal,4
6418,Eclipse puts a diamond operator when I use autocomplete for java.util.Optional,normal,4
6419,Update WTP Common to add the Java 13 project facet,normal,4
6420,Get persistent and fatal NoClassDefFoundError: org/eclipse/jdt/core/IElementChangedListener opening pom.xml file,normal,4
6421,[12] Install JDK 13 for tests on hipp6,normal,4
6422,"Error reported like ""Fatal error during logging: Static runtime cannot load plugins Exiting."" when test amf_ttcn binary",blocker,0
6425,Missing Abandon Commit,normal,4
6426,"Slow loading ""org.eclipse.e4.ui.swt.css.theme"" when using shared drive as workspace directory",normal,4
6427,"Retitle ""Quick Access""/""Find Actions"" to something more explicit",normal,4
6428,eclipse-repository do not create binary from feature root file for macosx,normal,4
6429,[macOS] Text on buttons is vertically excentered,normal,4
6430,"Errors in the log ""Failed to evaluate: ReferenceExpression [definitionId=org.eclipse.m2e.sourcelookup.ui.m2estratum]""",minor,3
6431,Please configure GitHub access token for Metro's github bot,normal,4
6432,osgi.bundles and start levels from existing config.ini are not considered,major,2
6433,Audit callers of IArrayType.getSize() and make sure they handle a null return value,normal,4
6434,[RJ-Servi] CommonsRuntime in RCP demos is sometimes not initialized,normal,4
6436,HTML5 script element async attribute should have boolean values,trivial,5
6437,Please add TheiaDevCon to events.eclipse.org ASAP,critical,1
6438,[GTK3] Eclipse randomly crashes in WindowBuilder Swing Designer,major,2
6439,[release] tools.gef 5.1.0,normal,4
6440,[release] modeling.mdt.papyrus 4.4.0,normal,4
6442,Binary not found' error message when attempting to run natively (Linux GCC) built project in Ubuntu 18.04,normal,4
6443,Declare 4.12 RC1,normal,4
6444,Enable API Freeze Report for 4.12,normal,4
6445,Downloads became very slow,major,2
6446,[Passage] improve org.eclipse.passage.loc.api.OperatorLicenseService,normal,4
6447,Control button not working,normal,4
6448,ParameterNamesCodeMiningTest.testMultiLines() failed,normal,4
6449,[Passage] provide LicensingRequestDescriptor interface,normal,4
6450,UnsupportedOperationException: not a map: java.util.Collections$UnmodifiableMap,normal,4
6451,[Passage] extend License Pack to reference data from License Request,normal,4
6452,Switch RasterFrames CI from TravisCI to CircleCI,normal,4
6453,Create eclipse/codewind-eclipse and eclipse/codewind-vscode repositories,normal,4
6454,directory listings on archive.eclipse.org point to download.eclipse.org,normal,4
6457,Unable to find a GPG key for signing,major,2
6458,Java 12 support,normal,4
6459,[release] technology.passage 0.5.0,normal,4
6460,[release] technology.handly 1.2.0,normal,4
6461,[release] tools.titan 6.6.0,normal,4
6463,Deploy ecj compiler from I20190529-2005 and use it for 4.12 RC2 build,normal,4
6464,Server is hosted very far...,critical,1
6465,Update Base builder to 4.12 RC1 to build 4.12 RC2,normal,4
6466,[Passage] Licensing dialog should do calculations in background,normal,4
6467,[Passage] LicensePack should have information about Licensing Operator,major,2
6468,"Mosquitto appears on bugzilla ""select classification"" page",normal,4
6469,Enable github sponsorship for eclipse/mosquitto,normal,4
6470,[Passage] the engine should check for clock tampering,major,2
6471,"Cannot run program ""Xvnc""",normal,4
6472,"[Passage] Dashboard should use ""show"" instead of ""edit""",normal,4
6473,ECJ cannot compile annotation on inner class when attribute value is defined as private constant in said inner class,normal,4
6474,ECJ cannot compile class extending an interface with a complex self-type generic type parameter,normal,4
6475,ECJ cannot compile more than two chained calls on methods returning self-type in an interface with a complex self-type generic type parameter,normal,4
6476,[REGRESSION] NullpointerException thrown instead of actual exception since 1.9.3,major,2
6477,Dot Graph View - Implement Clusterrank support properly,normal,4
6478,[Passage] Show License Pack content to Operator for the User License,normal,4
6479,[GTK] DateTime drop-down popup shell does not hiding on focus lost,normal,4
6482,[Passage] Allow Operator to show the generated product version keys,major,2
6483,No Internal Vars available in SimpleFBs,normal,4
6484,Committer access after election,normal,4
6485,[13] Support for Unicode 12.1,normal,4
6486,Rename ui.controls plugin to ui,normal,4
6487,move imageprovider package from utils to ui plugin,normal,4
6488,Update 4diac logo on web-page,normal,4
6489,Update welcome page to new 4diac logo,normal,4
6490,Update About 4diac IDE page,normal,4
6491,Update 4diac Application icons,normal,4
6492,External annotation impositions on derived classes are errors rather than warnings,normal,4
6493,[inference] Sub-optimal error message for inference failure at overloaded constructor,minor,3
6494,The Change for Bug 541864 is in theory not complete,normal,4
6495,[Passage] the LicensePlanFeature label should use its identifier and version,normal,4
6496,GenModel Reload can corrupt the *.ecore mlodel,normal,4
6497,[resolver] possible deadlock in ResolverImpl.EnhancedExecutor.await(),normal,4
6498,Add Launch Bar Target Support for GDB Remote,normal,4
6499,[Passage] switch to Eclipse 4.12,normal,4
6500,"[content assist] Chain Completion enabled automatically, too slow, causes freezes",blocker,0
6501,Gerrit fails to find changes when triggerring a Gerrit event manually,blocker,0
6502,[pivot] Improve StandaloneProjectMap/ProjectMap  ergonomics,normal,4
6503,Eclipse is not responding on ctrl + c and ctrl + v (copy/paste).,blocker,0
6504,Investigate Gerrit instability,blocker,0
6505,JIPP Help for SWTBot Project,normal,4
6506,loader re-entrance conflicts with adding otre imports,normal,4
6507,DOT Editor - Extend the content assistant support by subgraph template proposals,normal,4
6508,Eclipse 2019-03 (4.11.0) : Unable to run Junit in OpenJDK12 - java.lang.Error: Unresolved compilation problems,normal,4
6509,"Provide ""Collapse Hierarchy"" refactoring to inline interfaces",normal,4
6510,[Project Explorer] Error markers are not shown on working sets,normal,4
6511,Cannot add board using Arduino Boards Manager,normal,4
6512,"CDT GCC Build Output Parser does not recognize MSYS paths, only accepts WINDOWS paths",normal,4
6513,[otdre] conflicting local indices in _OT$callOrig regarding argument-less method,major,2
6515,add <superBase> declarations are suggested by the new validation,normal,4
6517,4.12 RC1a test results are not shown,normal,4
6518,Eclipse + PyDev: the app created in a django project won't show up automatically,critical,1
6519,"Allow underscore to indicate an unused lambda, method,  or catch formal parameter.",normal,4
6520,Autocompletion for external port name in actor class structure shows ports which are not part of the current actor class,normal,4
6521,Missing version qualifier,major,2
6522,[code mining] add possibility to query CodeMiningProviderRegistry without Text Editor,normal,4
6523,Generic IOs FB controller for rapid development,normal,4
6524,[Model2Doc] the user must be able to reset to null the field diagramType and diagramKind,normal,4
6525,[Model2Doc] diagram generation doesn't work when the diagram name contains a space.,normal,4
6526,Investigate API tools with new Java version (13) and current ASM,normal,4
6528,[SequenceDiagram] Undo/Redo problem with CombinedFragment,normal,4
6529,EPP 2019-06 Jubula can not start because javax.xml.bind via two dependency chains,blocker,0
6530,[Project Explorer] Newly created project does not show up if Top Level Elements are working sets,normal,4
6531,[Model2Doc]  The field customTitle is ignored for Diagram generation,normal,4
6532,Inconsistencies and typos in the main VIATRA tutorial,minor,3
6533,We can not access the class of diagram at ElkGraphlayout,normal,4
6534,The AST parser could not parse proper code (Error: Type mismatch: cannot convert from ... to ...),normal,4
6537,add javadoc plug-in to CDT instance,normal,4
6538,Unit Test Launcher creates corrupt classpath,normal,4
6539,Restore Roman Iuvshyn membership in eclipse-che team,normal,4
6541,API Tools application reports API issues because of re-exported javax.inject,normal,4
6542,Folding update does not work correctly,normal,4
6544,Allow targets to specify ATTR_REMOTE_TCP,normal,4
6545,Add category to throttle builds against for CDT,normal,4
6546,Add Leif Geiger as committer for simrel,normal,4
6547,[DTL]Testing of Lua Code Generator,normal,4
6548,[DTL] Testing simple functionality,normal,4
6549,[DTL]Testing advanced functionality,normal,4
6550,Deploying basic FBs through the dynamic type loader leads to error when starting from development branch,normal,4
6551,Create eclipse/codewind-docs repository,normal,4
6552,Publish Eclipse 4.12 to maven central,normal,4
6553,[13] flag error for unqualified yield method invocations and yield type,normal,4
6554,[13] Codegen for YieldStatement,normal,4
6555,Unexpected output on opening Help,minor,3
6556,NoSuchMethodError when importing Existing Code as Makefile Project,blocker,0
6557,NPE WorkbenchApplicationConfiguration#getOSGiProperty,normal,4
6558,P2 Bundle Rap E4 Demo contains no classes,normal,4
6560,Open declaration does not work for imports which import a complete namespace,normal,4
6561,[13] dom support for JEP 354 Switch Expression,normal,4
6570,CoreException: No property tester contributes a property org.eclipse.linuxtools.systemtap.ui.ide.handlers.hasDefinition to type class org.eclipse.core.internal.resources.Project,normal,4
6572,[DTL] Testing ECCS and corner cases,normal,4
6573,[Designer] Fix references in component library,normal,4
6574,[UnitTest] xml reports do contain an additional root node,normal,4
6575,New Launch Configuration Wizard Dialog too big,normal,4
6576,Create eclipse/codewind repository,blocker,0
6577,Show configuration type in config edit dialog,normal,4
6578,[IoTML] WoT TD generator,normal,4
6583,Update version number in mac's Eclipse.app for 4.13,normal,4
6588,ConcurrentModificationException below ContainerGCCToolChainProvider$2.run (thrown in ArrayList$Itr.checkForComodification),normal,4
6590,Linux Tools Gerrit Job No Longer Triggering On Changes,normal,4
6591,Discontinue http mirrors,normal,4
6592,[GTK] Browser widget not sized properly,minor,3
6596,[Snippets] Update OpenGL Snippets for current library version,normal,4
6597,[Snippets] Some improvements for SWT Snippets,normal,4
6598,Enable Travis CI for eclipse/packager,normal,4
6600,Move Deeplearning4j repository under Eclipse organization,normal,4
6601,[language] Make Extent more generally useable,normal,4
6602,"[Moka] Fuml, PSSM and PSCS normative constraint should be implemented",normal,4
6603,[Diagram] The code org.eclipse.papyrus.infra.gmfdiag.common.figure.edge.PapyrusEdgeFigure.drawCommonbendpoints(Graphics) must be moved in the EditPart,normal,4
6604,Update emf pattern for 2019-06,normal,4
6605,Broken http://download.eclipse.org/usssdk/updates/latest,blocker,0
6606,[Diagram][Export All Diagram] Common Bendpoint calculus fails during the export as image,major,2
6608,[CLA ]Contributor License Agreement (CLA) check,major,2
6609,[TMF] Tooltip size incorrect due to SWT bug,normal,4
6610,JIPP for swtchart,normal,4
6611,Use BOM for gradle build,normal,4
6612,Update parking and entrance information on eclipse.org,normal,4
6613,Historical/inactive committer should be shown as *was* not *is* committer,normal,4
6614,content assist causes error for deprecation method completion,normal,4
6615,NPE when using Tomcat 9 in latest 2019-06 M3 epp smoketest,normal,4
6616,Create a Hello World application,normal,4
6617,Creating change from the Gerrit UI is blocked by Signed-Off-By,major,2
6619,"tmf: Trace Compass 5.0 RC1 misses patch ""Rename TmfXYAxis to TmfXYAxisDescription""",normal,4
6620,"Message: ""the method toarray() is undefined for the type collection__"". in debug",critical,1
6622,Declare 4.12 RC2,normal,4
6623,Scala ide can't set breakpoints for the debugger.,normal,4
6624,[Auto Value] Outer and Inner class creation fails,normal,4
6625,WindowBuilder : Can't open the design page of a class,normal,4
6626,Implement TIME_IN_[S/MS/US/NS]_TO_LREAL,normal,4
6627,Implement TIME_IN_[S/MS/US/NS]_TO_LINT,normal,4
6628,Implement TIME_IN_[S/MS/US/NS]_TO_ULINT,normal,4
6629,Add FB representation for Implement TIME_IN_[S/MS/US/NS]_TO_ULINT,normal,4
6630,Add FB representation for Implement TIME_IN_[S/MS/US/NS]_TO_LINT,normal,4
6631,Add NOW function for getting current time,normal,4
6632,[Platform] getSystemProperty() should also query env variables,normal,4
6633,Maven 3.6.1 is not compatible with Tycho P2,normal,4
6634,[GTK3] Table editor at first row not painted,normal,4
6635,[ELK] algorithm selection is not applied to containers,normal,4
6636,No partVisible event for minimized part on perspective switch,normal,4
6637,[Win32] Owner-drawn table ignores set background color for sorting column,normal,4
6638,objectsOfKind neglects to resolveAll,normal,4
6639,[test] LeakTestsBefore9.testLeaksOnCleanBuild failing intermittently,normal,4
6640,Nightly builds update site with 0.7.0 builds no longer available,major,2
6641,[runtime] Fully load all models once,normal,4
6642,[ELK] Ability to choose algorithm for each container type,normal,4
6643,NumberFormatException when using project specific settings,critical,1
6644,[release] tools.tracecompass 5.0.0,normal,4
6645,EModelService findElement methods do not find shared elements of MWindow,major,2
6646,[GTK3] Bottom scrollbar arrow does nothing on click,normal,4
6647,I cant' install eclpse,normal,4
6648,[release] technology.swtbot 2.8.0,normal,4
6649,[release] webtools 3.14.0,normal,4
6650,For each conversion doesn't work for collections,normal,4
6651,Content assist inside of specific lambdas results in NullPointerException,normal,4
6652,Show/hide mode: node labels moves when made hidden or visible,normal,4
6654,[release] tools.cdt 9.8.0,normal,4
6655,Platform Help should use SVGs instead of pixel graphics,normal,4
6656,Create eclipse/codewind-che-plugin repository,normal,4
6657,Qt projects don't work out of the box,normal,4
6658,[release] tools.linuxtools 7.3.0,normal,4
6659,[release] polarsys.polarsys.opencert 1.0.0,normal,4
6660,Remove function TIME(),normal,4
6661,Reduce contention in BundleLoaderSources.getPackageSource(),normal,4
6662,Container launch targets may disappear after removing then restoring connection,normal,4
6663,Move I-builds to R4_12_maintenance branch,normal,4
6664,Create R4_12_maintenance branch from 4.12RC2,normal,4
6665,Update parent pom and target SDK deployments jobs to use R4_12_maintenance,normal,4
6666,Remove FBTest and util.com,normal,4
6667,stack overflow,major,2
6668,Some projects cannot be seen afer update (nightly build),normal,4
6669,Test failure reasons are missing stacktraces of AUT's side of exception,normal,4
6670,Deploy ecj compiler from 4.12 RC2(I201906051800) and use it for master build,normal,4
6671,partial Popups & Fields data in Eclipse Oxygen Frontend,normal,4
6672,[Diagram] Some helper advices are not found,normal,4
6673,The viewpoint selection wizard is not internationalized,normal,4
6674,[Model2Doc] The label of the element must not contains the name of the metaclass neither the applied stereotype,normal,4
6675,[release] technology.jgit 5.4.0,normal,4
6676,[release] technology.egit 5.4.0,normal,4
6677,Create eclipse/codewind-installer repository,normal,4
6678,[release] tools.ptp 9.3.0,normal,4
6679,.cpp code of custom FB turns vars in CASE to uppercase vars,major,2
6680,"Every ""Update Type"" of custom FBs deletes all constants on the inputs",normal,4
6681,Search doesn't work as expected on the Eclipse Marketplace,normal,4
6683,[SourceEditor] Content assist auto-activation fails in StatET 4.0 /eclipse 2018-12,normal,4
6685,OSSRH setup for project EclipseLink at ci-staging.eclipse.org,normal,4
6686,Preferences context produces unclear exceptions in AUT's error log,normal,4
6687,"[Preferences] Theme description seems editable, but isin't (Flashing Cursor)",normal,4
6689,"[Preferences] Colors and Fonts descriptions seem editable, but are not (Flashing Cursor)",normal,4
6690,"[Preferences]  Label Decoration description appears to be editable, but is not (Flashing Cursor)",normal,4
6691,[proposal] technology.repairnator,normal,4
6692,[mentors] Mentor required for Eclipse Repairnator,normal,4
6693,[trademark] Trademark approval required for Eclipse Repairnator,normal,4
6694,Provide a NOW_MONOTONIC function for systems with no sense of real time,normal,4
6695,"[Preferences] Add color preview in ""Appearance Color Options"" table + Inline editing of colors",normal,4
6696,Assign Agent Resource Pack to Project,blocker,0
6697,RPATHs on AIX,normal,4
6698,"[GTK][Preferences] Add space between ""Show whitespace characters"" and ""(configure visiblity)""",normal,4
6701,"[Preferences] Improve page layout of ""Annotations"" page",normal,4
6702,[Preferences] Improve positioning of widgets on Annotations page,normal,4
6704,Resources view separator not thin,normal,4
6705,ToolTipString has potential NPEs,normal,4
6706,Move NoSQL to Eclipse EE4J Organization,normal,4
6707,Create eclipse/codewind-openapi-vscode repository,normal,4
6708,Create eclipse/codewind-openapi-eclipse repository,normal,4
6710,Modular Java: Correct type resolving for Javadoc in module-info files,normal,4
6712,[Preferences] Improve tab display/organization for SSH2 preferences page,normal,4
6713,[Regression] Git-based comparison fails,normal,4
6714,Git connector does not compile against EGit 5.4.0,normal,4
6715,Build executors for 'codewind' are offline/suspended,blocker,0
6716,Ability to control if bundles are activated in parallel,normal,4
6717,Create eclipse/codewind-filewatchers repository,normal,4
6718,GitHub Pull Request Builder Plugin for Dartboard,normal,4
6719,Git Reflog view is unnecessarily expensive,normal,4
6721,TransportHttpTest.testProcessResponseCookies fails with FileNotFoundException,normal,4
6722,Add ranking to REST API,normal,4
6723,Investigate the impact of platform's plans for deleting deprecated API,normal,4
6724,[9] improve error message when trying to export a foreign package,normal,4
6725,"Can't use the project name ""GolfCartEnabler""",normal,4
6726,Setting to disable tab title truncation,normal,4
6727,[R-DataEditor] Data Viewer loses data when paging extremely large data.table,normal,4
6728,Program crashes upon making a correction to a line that won't go away,blocker,0
6729,some errors in maths,major,2
6730,"The class file is large (code 1600 lines), causing it to not format properly",major,2
6731,"Error ""server seems to be temporarily unavailable"" when downloading a file",normal,4
6732,NullPointerException in CompImplSync,normal,4
6733,FormLayout: Preference page initialize error,normal,4
6736,[proposal] ee4j.cargotracker,normal,4
6737,[mentors] Mentor required for Eclipse Cargo Tracker - Jakarta EE DDD Blueprints,normal,4
6738,[trademark] Trademark approval required for Eclipse Cargo Tracker,normal,4
6739,[license] Alternative licensing approval for Eclipse Cargo Tracker,normal,4
6740,Arrowhead Documentation missing,normal,4
6741,[proposal] ee4j.bean-validation,normal,4
6742,[trademark] Trademark approval required for Jakarta Bean Validation,normal,4
6743,[license] Alternative licensing approval for Jakarta Bean Validation (Apache 2.0),normal,4
6744,[mentor] Mentor required for Jakarta Bean Validation,normal,4
6745,No longer a committer,normal,4
6746,TemplatesView should adapt to IContributedContentsView,normal,4
6747,Platform JIPP - All available display numbers are allocated or blacklisted,major,2
6749,[Passage] provide ability to create license plan from issue license wizard,normal,4
6750,[Passage] provide ability to create user from issue license wizard,normal,4
6751,"[Preferences] ""Restore Defaults"" doesn't work on the Network Connections page",normal,4
6752,[Passage] provide ability to create product version from issue license wizard,normal,4
6753,"[Preferences] Description box in ""Hovers"" tab appears to be editable, but isn't",normal,4
6754,[Passage] fix codec not found error,normal,4
6755,[Preferences] Capabilities Description appears to be editable but is not (Flashing Cursor),normal,4
6756,Eclipse Platform bugzilla permissions,normal,4
6757,Assume that projects provisioned on GitHub do not require a Bugzilla product,normal,4
6758,EGit does not work with additional private ssh keys under windows with MINA.,normal,4
6759,[CSS] Some selectors aren't correctly formatted,normal,4
6760,Requesting temporary admin permissions on github repo to satisfy legal requirements,normal,4
6761,[editor] Collapse copyright header,normal,4
6762,Assign Resource Packs to JGit and EGit JIPPs on Jiro,normal,4
6763,Single line within block crashes eclipse program,normal,4
6764,SWTBot Nattable extension should not depend on Eclipse,normal,4
6765,[HTTP] PATH and http response aren't well parsed,normal,4
6766,hipp3 seems to be offline,normal,4
6767,Signed-Off button selection in Git staging view not persisted,normal,4
6768,Run and Debug configurations disappear from Quick Access,normal,4
6769,[Down] JIPP Help for Capella,blocker,0
6770,[Model2Doc] The user must be able to define authors for the generated document,normal,4
6771,Changes of my last name not synched to bugzilla,major,2
6772,Platform.getBundle( Constants.SYSTEM_BUNDLE_SYMBOLICNAME ) returns null,normal,4
6773,Implement virtual method does not work,normal,4
6774,Remove BREE from non-Java bundles,normal,4
6775,[win32][StyledText] Hieroglyph causes preceding spaces to change size,normal,4
6776,Project Code Analysis launching settings cannot be overriden by individual problem settings,normal,4
6778,Horizontal scrollbar never appears in FormPage editor part,normal,4
6779,[Wayland] Can't show context menu in history diff viewer,normal,4
6780,[SequenceDiagram][Model2Doc] NullPointerException exporting Sequence Diagram,normal,4
6781,Trace Compass JIPP is offline,blocker,0
6782,Allow min/max date to show the allowed range in the Calendar and to limit wrong selection,normal,4
6783,[SequenceDiagram] Expection during the redo of an Asynch Message creation,normal,4
6784,Layout problem with Today and None button on Calendar Combo Composite,normal,4
6785,Coloring of line break indicator is inconsistent/incorrect,trivial,5
6787,use pomless builds where possible,normal,4
6788,Omitting worspace/symbol query param raises error in language server,normal,4
6789,Cookie consent pop up shows up on every Wiki page load,normal,4
6790,"""Switch To"" becomes disabled for submodule in Project Explorer",normal,4
6791,StyledTextTextProperty doesn't work with StyledString,normal,4
6792,[Releng] SSH agent write permission to promote,normal,4
6794,Add support for reading/writing measurement data over REST API,normal,4
6795,LegacyRenderer should handle NPE,normal,4
6796,Allow sort customization,normal,4
6797,Severity of MultiStatus not correctly initialized,major,2
6798,Mailing list subscription not accepted,critical,1
6799,"[Preferences] Add inline editing of colors in ""Appearance Color Options"" table",normal,4
6800,"[Preferences] Add color preview in ""Appearance Color Options"" table",normal,4
6801,Remove special handing of SWT.SEARCH in Platform UI,normal,4
6803,[win32] 4.13 I build failure due to SWT native build failure,blocker,0
6804,Integrate new build scripts developed in bug 541301,normal,4
6805,[Tips] Tips dialog not shown when specifying -Dorg.eclipse.tips.startup.default=dialog,normal,4
6806,"[Passage] User License label should include ""Issue Date"" and ""User""",major,2
6807,Apibaseline::resolveSystemLibrary should use the latest EE as a fallback,normal,4
6808,"[Passage] ""Issue License"" wizard selects dates with a wrong month",critical,1
6809,Switching to EPL 2.0 for BaSyx,normal,4
6810,[Model2Doc] The user must be able to define a version for each generated document structure.,normal,4
6811,Create eclipse/codewind-node-profiler repository,normal,4
6812,Create eclipse/codewind-java-profiler repository,normal,4
6813,[navigation] Occurrences disappear when Preferences is opened,normal,4
6814,variable names are not checked for safety on module loading,normal,4
6815,Update to maven-bundle-plugin 4.2.0,normal,4
6816,Jenkinsfile not correctly processed/mixup,normal,4
6817,Racy reads in JGit 5.1.8,blocker,0
6818,[API] Add color constants for disabled background and foreground colors,normal,4
6819,[GTK] Add color constant for disabled background and foreground colors,normal,4
6820,JIPP add newer golang version,major,2
6821,[quick assist] Infer generics type argument quick assist should use diamond operator if at least Java 7 is used,normal,4
6822,ResizeColumnHideShowLayer#hideColumnPosition checks position instead of index,normal,4
6823,"Support ""--module-version"" option in ecj compiler",normal,4
6824,Pre-launch check blocks the startup of Wildfly server,blocker,0
6826,Remove BREE from non-Java bundles in platform,normal,4
6827,Auto focus changed to the first text field on the composite,normal,4
6828,JSON validator incorrectly identifies duplicate key,normal,4
6829,[release] iot.iofog 1.1.0,normal,4
6830,"[WindowIconDialogEditor] should never include Icons from ""bin""-Folder",normal,4
6831,Correct typo for eclipse/odewind-che-plugin repository,normal,4
6832,Signing service unavailable,normal,4
6833,ExtendedQuoteBlock does not handle nested blocks that end mid-line,normal,4
6834,"""Attempt to use symbol failed""",normal,4
6835,[Commonmark] Error with triple back-slash in Rmarkdown Editor,normal,4
6836,[13] API  behaviour for errors of preview features,normal,4
6837,JPQL EntityManger createQuery is hanging for a lengthy query.,major,2
6838,Don't send textDocument/didSave notifications if the server does not support it,normal,4
6839,"""Remove"" in the Module dependencies tab does not remove system modules",normal,4
6841,"Improve ""Baseline changed"" dialog text",normal,4
6842,Close Gerrit for Nebula,normal,4
6843,"Should the warning ""There are no JREs installed in the workspace that are strictly compatible with this environment"" respect the --release option?",normal,4
6844,ApplyCommand does not work if patch contains ADD of empty file,critical,1
6845,Ugly icons in dark mode,normal,4
6846,Install https://wiki.jenkins.io/display/JENKINS/Warnings+Next+Generation+Plugin in Platform Jenkins,normal,4
6847,UnsupportedOperationException on startup of equinox,critical,1
6848,"Improve ""Delete resources"" and ""Delete project"" dialog text",normal,4
6850,[pivot] NsURIPackageIdImpl.getEPackage fails if ePackage unloaded,normal,4
6851,[Charting] figure() throws NPE,normal,4
6852,Potential NPE in MessageManager#update,normal,4
6853,Error entering a session: Session Track field is required,critical,1
6854,Controll.print(GC gc) broken since Windows 10 1809 Update (Fall Creator Update),normal,4
6855,linux hangs on: org.eclipse.swt.internal.gtk.OS._g_main_context_iteration,normal,4
6856,[Model2Doc] The framework must provide a way to define generation condition on IBodySectionPartTemplate,normal,4
6857,Dead links to examples in help for 0.9.4,trivial,5
6858,[Headless] workspace is not stored on exit,normal,4
6859,Missing information within FB Type editor (nightly build),normal,4
6860,[Headless] AutomaticUpdateScheduler prints errors to log,normal,4
6861,[release] tools.mat 1.9.0,normal,4
6862,[Expression] Papyrus must provide new expressions check single valued EAttribute and Stereotype Properties values (equality tests),normal,4
6863,Use verbs in Add Filter Comment for API tools instead of OK,normal,4
6864,[Headless] error not printed when file cannot be found,normal,4
6865,"[Preferences] Make it more apparent that ""Description"" text boxes are not editable",normal,4
6866,Test nucleus with Eclipse Glassfish 5.1,normal,4
6867,API Analysis in Tycho build fail for dependencies which have nested jars,normal,4
6868,Vulnerability within Oracle Mojarra JSF v2.2 and v2.3,major,2
6869,[R-Editor] Open Declaration doesn't work for element references with sub name,normal,4
6870,Grant access to projects storage service to the Jenkins instance of project codewind,blocker,0
6871,"MalformedURLException for "".""",normal,4
6873,Investigate API errror on https://git.eclipse.org/r/c/143156/,major,2
6874,Problems in Javadoc for platform,normal,4
6875,eclipse-dev description is truncated,normal,4
6876,Applying quickfix causes a compile error in Platform UI CleanUpAddon.java,normal,4
6878,"Replace Team in preferences and menus with ""Version control""",normal,4
6879,Retire Jet templates from org.eclipse.e4.tools,normal,4
6880,[release] ee4j.glassfish 2.6.0,normal,4
6881,[release] technology.lsp4e 0.10.0,normal,4
6882,[release] technology.tm4e 0.3.3,normal,4
6883,"After adding or cloning a git repository, does not appears in Git Repository view",normal,4
